FileName,ClusterID,StripeCount,Center_Lon,Center_Lat,OBB_P1_Lon,OBB_P1_Lat,OBB_P2_Lon,OBB_P2_Lat,OBB_P3_Lon,OBB_P3_Lat,OBB_P4_Lon,OBB_P4_Lat
s1a-iw-grd-vv-20141008t115056-20141008t115116-002738-003122-001,0,9,95.35649619338956,5.59773604288097,95.4899,6.097835,95.14709,5.34693,95.266556,5.2615623,95.60937,6.012467
s1a-iw-grd-vv-20141008t115056-20141008t115116-002738-003122-001,1,1,95.20870519285714,5.33956730127186,95.22492,5.3451905,95.19245,5.337574,95.19295,5.3343005,95.22541,5.341917
s1a-iw-grd-vv-20141008t115056-20141008t115116-002738-003122-001,2,11,95.45003156609305,6.075155316895768,95.432495,6.403018,95.38749,5.744753,95.467545,5.7361875,95.51254,6.394452
s1a-iw-grd-vv-20141008t115056-20141008t115116-002738-003122-001,3,7,94.95753209860828,6.098495011228994,94.919365,6.2929173,94.811005,5.914925,94.9202,5.865932,95.02856,6.243924
s1a-iw-grd-vv-20141008t115056-20141008t115116-002738-003122-001,4,1,95.12843506666668,6.111724916461917,95.11271,6.1136823,95.11265,6.1115174,95.144196,6.1101565,95.14426,6.112321
s1a-iw-grd-vv-20141008t115253-20141008t115318-002738-003123-001,0,4,93.50784134275956,12.582024621488046,93.52938,12.9675255,93.451385,12.962075,93.48981,12.251065,93.56781,12.2565155
s1a-iw-grd-vv-20141008t115253-20141008t115318-002738-003123-001,1,3,93.9391903090285,12.574425822776004,93.97975,12.902116,93.87684,12.889578,93.931175,12.312902,94.03408,12.32544
s1a-iw-grd-vv-20141008t115253-20141008t115318-002738-003123-001,2,1,93.62092397006334,12.760391902055623,93.62627,12.809866,93.61073,12.710954,93.6147,12.710148,93.63023,12.80906
s1a-iw-grd-vv-20141008t115253-20141008t115318-002738-003123-001,3,3,94.1996812614623,13.237855648249548,94.22217,13.372612,94.168785,13.369794,94.18214,13.0426855,94.23553,13.045504
s1a-iw-grd-vv-20141105t233352-20141105t233422-003153-003a04-001,0,1,95.06405803944048,13.298071821333869,95.13159,13.207711,95.13711,13.212629,95.00109,13.385885,94.995575,13.380968
s1a-iw-grd-vv-20141105t233352-20141105t233422-003153-003a04-001,1,5,94.77260847612058,12.911173871875665,94.9107,12.680761,94.97323,12.740632,94.67316,13.096565,94.61063,13.036694
s1a-iw-grd-vv-20141105t233352-20141105t233422-003153-003a04-001,2,1,94.12628777463344,12.473991012484795,94.12809,12.41748,94.13328,12.418033,94.12258,12.532018,94.11739,12.531465
s1a-iw-grd-vv-20150107t114352-20150107t114416-004065-004e8a-001,0,2,95.9425226704004,9.69983312937601,95.95096,9.976334,95.88458,9.968359,95.92949,9.473119,95.99587,9.481094
s1a-iw-grd-vv-20150107t114352-20150107t114416-004065-004e8a-001,1,4,96.29376665310453,9.941049661661284,96.301605,10.470638,96.20822,10.463989,96.25721,9.55241,96.35059,9.559059
s1a-iw-grd-vv-20150107t114352-20150107t114416-004065-004e8a-001,2,2,96.54477945463016,10.38389045578749,96.54284,10.569694,96.53955,10.205315,96.55086,10.205179,96.554146,10.569559
s1a-iw-grd-vv-20150107t114352-20150107t114416-004065-004e8a-001,3,2,95.9614287524854,10.45581578204353,95.96818,10.555187,95.92771,10.36888,95.95469,10.361117,95.995155,10.547424
